	Total	Mexican Restaurant	Coffee Shop	Pizza Place	Food Truck	Sandwich Place	Taco Place	Fast Food Restaurant	Burger Joint	American Restaurant	Bakery	Ice Cream Shop	Italian Restaurant	BBQ Joint	Cocktail Bar	Brewery	Chinese Restaurant	Café	Mediterranean Restaurant	Vietnamese Restaurant	Juice Bar	Restaurant	Breakfast Spot	Dive Bar	Asian Restaurant	Fried Chicken Joint	Sushi Restaurant	Seafood Restaurant	Donut Shop	Deli / Bodega	Vegetarian / Vegan Restaurant	Thai Restaurant	Japanese Restaurant	Pub	New American Restaurant	Bagel Shop	Dessert Shop	Steakhouse	Wings Joint	Indian Restaurant	Beer Garden	Salad Place	Sports Bar	Korean Restaurant	Frozen Yogurt Shop	French Restaurant	Cupcake Shop	Food	Bubble Tea Shop	Cajun / Creole Restaurant	Tex-Mex Restaurant	Smoothie Shop	Beer Bar	Southern / Soul Food Restaurant	South American Restaurant	Diner	Snack Place	Middle Eastern Restaurant	Gastropub	Greek Restaurant	Beach Bar	Ramen Restaurant	Bed & Breakfast	Latin American Restaurant	Gluten-free Restaurant	Hotel Bar	Cuban Restaurant	Comfort Food Restaurant	Burrito Place	Wine Bar	Tea Room	Tapas Restaurant	Irish Pub	Soup Place	Ethiopian Restaurant	Peruvian Restaurant	Noodle House	Szechuan Restaurant	Churrascaria	Taiwanese Restaurant	South Indian Restaurant	Argentinian Restaurant	Cantonese Restaurant	Turkish Restaurant	Whisky Bar	Pastry Shop	Brazilian Restaurant
Mlk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlk-183	6	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montopolis, Oltorf-East Riverside (East Riverside-Oltorf), Parker Lane, Pleasant Valley, Riverside	72	8	8	3	6	1	4	0	1	0	1	0	1	3	4	5	0	1	0	4	1	0	1	1	0	1	0	1	0	1	2	0	1	2	2	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
North Burnet	43	3	1	1	0	2	0	1	2	3	2	1	2	1	0	1	2	0	0	0	0	1	1	0	2	0	2	1	0	1	1	1	0	0	1	1	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
North Shoal Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northwest Austin (NW Austin)	34	1	3	5	4	4	1	2	1	2	0	1	1	3	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Oriens Park, Pecan Springs-springdale, Rmma, University Hills, Windsor Park	33	3	2	4	3	0	2	6	1	0	0	0	0	0	0	0	2	1	2	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rollingwood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rosewood	14	0	2	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shady Hollow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South Austin (Austin del Sur)	61	5	4	4	1	2	4	1	4	2	2	2	1	1	0	0	1	1	2	0	1	1	0	0	3	0	0	1	3	1	1	2	0	0	0	2	1	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Southeast Austin (SE Austin)	49	7	2	5	1	4	0	3	1	2	1	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	1	0	2	1	0	0	1	1	0	0	0	3	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Town Lake	57	7	7	4	3	2	3	0	3	2	0	1	3	1	0	0	0	1	0	4	0	0	0	0	0	2	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UT, University of Texas (UT)	51	0	6	0	1	6	3	3	0	1	2	1	0	0	1	0	1	1	2	0	1	0	1	0	1	1	2	0	0	0	0	0	2	0	1	1	1	0	1	2	1	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Upper Boggy Creek	21	0	2	1	4	0	1	0	0	1	0	1	1	0	1	0	1	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Westgate	25	1	3	1	3	3	1	1	2	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sum	1427	115	112	89	86	80	52	46	43	43	34	33	30	30	28	27	27	24	24	22	22	21	19	19	19	18	17	17	17	16	16	15	14	13	13	12	11	11	11	11	10	9	8	8	8	8	7	6	6	6	5	5	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
